Timestamp;Entity Name;humidity;k;n;p;ph;rainfall;temperature
2023-04-18 19:35:35;K3;;73;;;;;
2023-04-18 19:35:35;N3;;;72;;;;
2023-04-18 19:35:35;P3;;;;74;;;
2023-04-18 19:35:35;humidity3;65;;;;;;
2023-04-18 19:35:35;ph3;;;;;8;;
2023-04-18 19:35:35;rainfall3;;;;;;306;
2023-04-18 19:35:35;temperature3;;;;;;;27
2023-04-18 19:35:45;K3;;65;;;;;
2023-04-18 19:35:45;N3;;;80;;;;
2023-04-18 19:35:45;P3;;;;75;;;
2023-04-18 19:35:45;humidity3;67;;;;;;
2023-04-18 19:35:45;ph3;;;;;9;;
2023-04-18 19:35:45;rainfall3;;;;;;302;
2023-04-18 19:35:45;temperature3;;;;;;;28
2023-04-18 19:35:55;K3;;71;;;;;
2023-04-18 19:35:55;N3;;;83;;;;
2023-04-18 19:35:55;P3;;;;91;;;
2023-04-18 19:35:55;humidity3;69;;;;;;
2023-04-18 19:35:55;ph3;;;;;9;;
2023-04-18 19:35:55;rainfall3;;;;;;392;
2023-04-18 19:35:55;temperature3;;;;;;;28
2023-04-18 19:36:05;K3;;90;;;;;
2023-04-18 19:36:05;N3;;;88;;;;
2023-04-18 19:36:05;P3;;;;94;;;
2023-04-18 19:36:05;humidity3;96;;;;;;
2023-04-18 19:36:05;ph3;;;;;8;;
2023-04-18 19:36:05;rainfall3;;;;;;312;
2023-04-18 19:36:05;temperature3;;;;;;;28
2023-04-18 19:36:25;K3;;87;;;;;
2023-04-18 19:36:25;N3;;;90;;;;
2023-04-18 19:36:25;P3;;;;73;;;
2023-04-18 19:36:25;humidity3;87;;;;;;
2023-04-18 19:36:25;ph3;;;;;8;;
2023-04-18 19:36:25;rainfall3;;;;;;333;
2023-04-18 19:36:25;temperature3;;;;;;;35
2023-04-18 19:36:35;K3;;99;;;;;
2023-04-18 19:36:35;N3;;;77;;;;
2023-04-18 19:36:35;P3;;;;74;;;
2023-04-18 19:36:35;humidity3;83;;;;;;
2023-04-18 19:36:35;ph3;;;;;9;;
2023-04-18 19:36:35;rainfall3;;;;;;345;
2023-04-18 19:36:35;temperature3;;;;;;;32
2023-04-18 19:36:45;K3;;96;;;;;
2023-04-18 19:36:45;N3;;;85;;;;
2023-04-18 19:36:45;P3;;;;82;;;
2023-04-18 19:36:45;humidity3;81;;;;;;
2023-04-18 19:36:45;ph3;;;;;9;;
2023-04-18 19:36:45;rainfall3;;;;;;331;
2023-04-18 19:36:45;temperature3;;;;;;;29
2023-04-18 19:36:55;K3;;96;;;;;
2023-04-18 19:36:55;N3;;;77;;;;
2023-04-18 19:36:55;P3;;;;61;;;
2023-04-18 19:36:55;humidity3;80;;;;;;
2023-04-18 19:36:55;ph3;;;;;7;;
2023-04-18 19:36:55;rainfall3;;;;;;326;
2023-04-18 19:36:55;temperature3;;;;;;;28
2023-04-18 19:37:05;K3;;70;;;;;
2023-04-18 19:37:05;N3;;;99;;;;
2023-04-18 19:37:05;P3;;;;84;;;
2023-04-18 19:37:05;humidity3;93;;;;;;
2023-04-18 19:37:05;ph3;;;;;9;;
2023-04-18 19:37:05;rainfall3;;;;;;376;
2023-04-18 19:37:05;temperature3;;;;;;;36
2023-04-18 19:37:25;K3;;73;;;;;
2023-04-18 19:37:25;N3;;;86;;;;
2023-04-18 19:37:25;P3;;;;89;;;
2023-04-18 19:37:25;humidity3;69;;;;;;
2023-04-18 19:37:25;ph3;;;;;9;;
2023-04-18 19:37:25;rainfall3;;;;;;342;
2023-04-18 19:37:25;temperature3;;;;;;;30
2023-04-18 19:37:35;K3;;73;;;;;
2023-04-18 19:37:35;N3;;;96;;;;
2023-04-18 19:37:35;P3;;;;76;;;
2023-04-18 19:37:35;humidity3;87;;;;;;
2023-04-18 19:37:35;ph3;;;;;9;;
2023-04-18 19:37:35;rainfall3;;;;;;305;
2023-04-18 19:37:35;temperature3;;;;;;;35
2023-04-18 19:37:45;K3;;88;;;;;
2023-04-18 19:37:45;N3;;;94;;;;
2023-04-18 19:37:45;P3;;;;81;;;
2023-04-18 19:37:45;humidity3;85;;;;;;
2023-04-18 19:37:45;ph3;;;;;7;;
2023-04-18 19:37:45;rainfall3;;;;;;337;
2023-04-18 19:37:45;temperature3;;;;;;;33
2023-04-18 19:37:55;K3;;66;;;;;
2023-04-18 19:37:55;N3;;;91;;;;
2023-04-18 19:37:55;P3;;;;75;;;
2023-04-18 19:37:55;humidity3;98;;;;;;
2023-04-18 19:37:55;ph3;;;;;7;;
2023-04-18 19:37:55;rainfall3;;;;;;318;
2023-04-18 19:37:55;temperature3;;;;;;;31
2023-04-18 19:38:15;K3;;66;;;;;
2023-04-18 19:38:15;N3;;;76;;;;
2023-04-18 19:38:15;P3;;;;90;;;
