Timestamp;Entity Name;humidity;k;n;p;ph;rainfall;temperature
2023-04-18 19:35:35;K2;;36;;;;;
2023-04-18 19:35:35;N2;;;32;;;;
2023-04-18 19:35:35;P2;;;;36;;;
2023-04-18 19:35:35;humidity2;38;;;;;;
2023-04-18 19:35:35;ph2;;;;;5;;
2023-04-18 19:35:35;rainfall2;;;;;;251;
2023-04-18 19:35:35;temperature2;;;;;;;22
2023-04-18 19:35:45;K2;;40;;;;;
2023-04-18 19:35:45;N2;;;39;;;;
2023-04-18 19:35:45;P2;;;;53;;;
2023-04-18 19:35:45;humidity2;48;;;;;;
2023-04-18 19:35:45;ph2;;;;;6;;
2023-04-18 19:35:45;rainfall2;;;;;;263;
2023-04-18 19:35:45;temperature2;;;;;;;19
2023-04-18 19:35:55;K2;;45;;;;;
2023-04-18 19:35:55;N2;;;46;;;;
2023-04-18 19:35:55;P2;;;;60;;;
2023-04-18 19:35:55;humidity2;36;;;;;;
2023-04-18 19:35:55;ph2;;;;;6;;
2023-04-18 19:35:55;rainfall2;;;;;;206;
2023-04-18 19:35:55;temperature2;;;;;;;14
2023-04-18 19:36:05;K2;;33;;;;;
2023-04-18 19:36:05;N2;;;43;;;;
2023-04-18 19:36:05;P2;;;;46;;;
2023-04-18 19:36:05;humidity2;53;;;;;;
2023-04-18 19:36:05;ph2;;;;;5;;
2023-04-18 19:36:05;rainfall2;;;;;;220;
2023-04-18 19:36:05;temperature2;;;;;;;17
2023-04-18 19:36:15;N2;;;32;;;;
2023-04-18 19:36:15;humidity2;31;;;;;;
2023-04-18 19:36:15;ph2;;;;;4;;
2023-04-18 19:36:15;rainfall2;;;;;;257;
2023-04-18 19:36:15;temperature2;;;;;;;13
2023-04-18 19:36:25;K2;;40;;;;;
2023-04-18 19:36:25;P2;;;;56;;;
2023-04-18 19:36:35;K2;;38;;;;;
2023-04-18 19:36:35;N2;;;33;;;;
2023-04-18 19:36:35;P2;;;;57;;;
2023-04-18 19:36:35;humidity2;30;;;;;;
2023-04-18 19:36:35;ph2;;;;;5;;
2023-04-18 19:36:35;rainfall2;;;;;;205;
2023-04-18 19:36:35;temperature2;;;;;;;13
2023-04-18 19:36:45;K2;;54;;;;;
2023-04-18 19:36:45;N2;;;30;;;;
2023-04-18 19:36:45;P2;;;;43;;;
2023-04-18 19:36:45;humidity2;42;;;;;;
2023-04-18 19:36:45;ph2;;;;;6;;
2023-04-18 19:36:45;rainfall2;;;;;;205;
2023-04-18 19:36:45;temperature2;;;;;;;24
2023-04-18 19:36:55;K2;;33;;;;;
2023-04-18 19:36:55;N2;;;45;;;;
2023-04-18 19:36:55;P2;;;;36;;;
2023-04-18 19:36:55;humidity2;44;;;;;;
2023-04-18 19:36:55;ph2;;;;;5;;
2023-04-18 19:36:55;rainfall2;;;;;;241;
2023-04-18 19:36:55;temperature2;;;;;;;20
2023-04-18 19:37:05;K2;;37;;;;;
2023-04-18 19:37:05;N2;;;40;;;;
2023-04-18 19:37:05;P2;;;;36;;;
2023-04-18 19:37:05;humidity2;41;;;;;;
2023-04-18 19:37:05;ph2;;;;;4;;
2023-04-18 19:37:05;rainfall2;;;;;;233;
2023-04-18 19:37:05;temperature2;;;;;;;13
2023-04-18 19:37:25;K2;;38;;;;;
2023-04-18 19:37:25;N2;;;59;;;;
2023-04-18 19:37:25;P2;;;;35;;;
2023-04-18 19:37:25;humidity2;47;;;;;;
2023-04-18 19:37:25;ph2;;;;;4;;
2023-04-18 19:37:25;rainfall2;;;;;;216;
2023-04-18 19:37:25;temperature2;;;;;;;22
2023-04-18 19:37:35;K2;;49;;;;;
2023-04-18 19:37:35;N2;;;30;;;;
2023-04-18 19:37:35;P2;;;;38;;;
2023-04-18 19:37:35;humidity2;50;;;;;;
2023-04-18 19:37:35;ph2;;;;;5;;
2023-04-18 19:37:35;rainfall2;;;;;;241;
2023-04-18 19:37:35;temperature2;;;;;;;20
2023-04-18 19:37:45;K2;;32;;;;;
2023-04-18 19:37:45;N2;;;32;;;;
2023-04-18 19:37:45;P2;;;;57;;;
2023-04-18 19:37:45;humidity2;45;;;;;;
2023-04-18 19:37:45;ph2;;;;;6;;
2023-04-18 19:37:45;rainfall2;;;;;;225;
2023-04-18 19:37:45;temperature2;;;;;;;17
2023-04-18 19:37:55;K2;;43;;;;;
2023-04-18 19:37:55;N2;;;50;;;;
2023-04-18 19:37:55;P2;;;;35;;;
2023-04-18 19:37:55;humidity2;53;;;;;;
2023-04-18 19:37:55;ph2;;;;;6;;
2023-04-18 19:37:55;rainfall2;;;;;;296;
2023-04-18 19:37:55;temperature2;;;;;;;23
2023-04-18 19:38:05;humidity2;59;;;;;;
2023-04-18 19:38:05;temperature2;;;;;;;22
2023-04-18 19:38:15;K2;;37;;;;;
2023-04-18 19:38:15;N2;;;42;;;;
2023-04-18 19:38:15;P2;;;;39;;;
2023-04-18 19:38:15;ph2;;;;;5;;
2023-04-18 19:38:15;rainfall2;;;;;;293;
2023-04-18 19:38:25;K2;;39;;;;;
2023-04-18 19:38:25;N2;;;50;;;;
2023-04-18 19:38:25;P2;;;;50;;;
2023-04-18 19:38:25;humidity2;52;;;;;;
2023-04-18 19:38:25;ph2;;;;;6;;
2023-04-18 19:38:25;rainfall2;;;;;;222;
2023-04-18 19:38:25;temperature2;;;;;;;14
2023-04-18 19:38:35;K2;;35;;;;;
2023-04-18 19:38:35;N2;;;38;;;;
2023-04-18 19:38:35;P2;;;;41;;;
2023-04-18 19:38:35;humidity2;33;;;;;;
2023-04-18 19:38:35;ph2;;;;;4;;
2023-04-18 19:38:35;rainfall2;;;;;;252;
